Account,Owner,City,State,Product,Product Family,Stage,Pipeline Amount,Source,Contract Amount,Stage Date/Close Date,Close Month,Close Quarter
 Daugherty and Daugherty,M. Roach,Baltimore,MD,Laptop-13,Laptop,1-Prospect,403154,Referral,,9/10/16,9,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,Closed Lost,-322575,Web,,10/27/16,10,4
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,2-Needs Analysis,255221,Trade Show,,9/1/16,9,3
Gleason LLC,J. Coltrane,Roanoke,VA,Laptop-17,Laptop,1-Prospect,30008,Referral,,11/30/16,11,4
Gleason LLC,J. Coltrane,Greenville,SC,Laptop-13,Laptop,4-Negotiation,473556,Referral,,6/29/16,6,2
Gleason LLC,J. Coltrane,Lehigh Acres,FL,Tablet-10,Tablet,2-Needs Analysis,43161,Referral,,12/2/16,12,4
Gleason LLC,J. Coltrane,Dayton,OH,Laptop-13,Laptop,3-Proposal,458084,Web,,1/1/17,1,1
Gleason LLC,J. Coltrane,Grand Rapids,MI,Laptop-15,Laptop,Closed Lost,-106466,Referral,,10/6/16,10,4
Gleason LLC,J. Coltrane,Burbank,CA,Laptop-17,Laptop,2-Needs Analysis,127208,Web,,9/11/16,9,3
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,1-Prospect,34741,Referral,,8/24/16,8,3
Gleason LLC,J. Coltrane,Seattle,WA,Laptop-17,Laptop,4-Negotiation,264287,Web,,6/23/16,6,2
Gleason LLC,J. Coltrane,Erie,PA,Laptop-15,Laptop,1-Prospect,155434,Referral,,2/20/16,2,1
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,2-Needs Analysis,353924,Trade Show,,1/19/17,1,1
Gleason LLC,J. Coltrane,Springfield,MA,Tablet-10,Tablet,1-Prospect,90502,Advertisement,,9/3/16,9,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,1-Prospect,101003,Referral,,1/2/17,1,1
Zieme Inc,D. Gillespie,Seattle,WA,Laptop-15,Laptop,1-Prospect,477151,Web,,10/10/16,10,4
Valenzuela Inc,B. Holiday,Miami,FL,Laptop-17,Laptop,5-Closed Won,-236891,Partner,415965,3/9/16,3,1
Gleason LLC,J. Coltrane,Phoenix,AZ,Laptop-17,Laptop,1-Prospect,72374,Web,,11/2/16,11,4
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,2-Needs Analysis,95283,Web,,12/6/16,12,4
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-15,Laptop,2-Needs Analysis,246014,Web,,11/4/16,11,4
Gleason LLC,J. Coltrane,Milwaukee,WI,Laptop-17,Laptop,1-Prospect,162699,Referral,,6/8/16,6,2
Zieme Inc,D. Gillespie,Saint Louis,MO,Laptop-17,Laptop,1-Prospect,270207,Web,,12/28/16,12,4
Gleason LLC,J. Coltrane,Baltimore,MD,Tablet-10,Tablet,1-Prospect,137828,Referral,,8/9/16,8,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,2-Needs Analysis,64665,Referral,,4/9/16,4,2
Gleason LLC,J. Coltrane,San Antonio,TX,Laptop-17,Laptop,4-Negotiation,191052,Web,,11/1/16,11,4
Zieme Inc,D. Gillespie,Las Vegas,NV,Laptop-15,Laptop,1-Prospect,235985,Web,,1/10/17,1,1
Valenzuela Inc,B. Holiday,Miami,FL,Phone-3,Phone,4-Negotiation,307685,Web,,10/12/16,10,4
Gleason LLC,J. Coltrane,Naperville,IL,Laptop-15,Laptop,3-Proposal,58013,Referral,,3/14/16,3,1
Gleason LLC,J. Coltrane,Shawnee Mission,KS,Laptop-17,Laptop,1-Prospect,34411,Referral,,9/20/16,9,3
Gleason LLC,J. Coltrane,Phoenix,AZ,Laptop-13,Laptop,4-Negotiation,315360,Referral,,3/16/16,3,1
Gleason LLC,J. Coltrane,San Francisco,CA,Laptop-13,Laptop,1-Prospect,259328,Referral,,6/19/16,6,2
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,407224,Referral,,5/31/16,5,2
Gleason LLC,J. Coltrane,Torrance,CA,Laptop-17,Laptop,1-Prospect,257398,Web,,11/8/16,11,4
Gleason LLC,J. Coltrane,Reno,NV,Laptop-13,Laptop,1-Prospect,222959,Web,,1/30/17,1,1
Gleason LLC,J. Coltrane,Boston,MA,Laptop-15,Laptop,3-Proposal,483181,Referral,,9/5/16,9,3
Gleason LLC,J. Coltrane,Fresno,CA,Laptop-17,Laptop,4-Negotiation,31099,Referral,,11/25/16,11,4
Gleason LLC,J. Coltrane,San Jose,CA,Laptop-15,Laptop,1-Prospect,458036,Referral,,1/2/17,1,1
Gleason LLC,J. Coltrane,Flushing,NY,Tablet-8,Tablet,2-Needs Analysis,305956,Referral,,11/13/16,11,4
Christiansen LLC,D. Ellington,Dallas,TX,Desktop-2,Desktop,5-Closed Won,-83098,Referral,207096,9/15/16,9,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,1-Prospect,419800,Web,,7/7/16,7,3
Gleason LLC,J. Coltrane,Washington,DC,Laptop-17,Laptop,1-Prospect,262906,Referral,,3/25/16,3,1
Gleason LLC,J. Coltrane,Saint Louis,MO,Laptop-17,Laptop,4-Negotiation,302654,Referral,,4/30/16,4,2
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,2-Needs Analysis,207209,Referral,,3/9/16,3,1
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,1-Prospect,330651,Web,,7/11/16,7,3
Dooley Group,J. Coltrane,Chicago,IL,Tablet-10,Tablet,1-Prospect,92583,Web,,12/10/16,12,4
Gleason LLC,J. Coltrane,Washington,DC,Laptop-13,Laptop,2-Needs Analysis,326150,Referral,,1/16/17,1,1
Gleason LLC,J. Coltrane,Las Vegas,NV,Laptop-15,Laptop,2-Needs Analysis,215691,Referral,,7/19/16,7,3
Gleason LLC,J. Coltrane,Bronx,NY,Laptop-13,Laptop,4-Negotiation,460892,Trade Show,,5/27/16,5,2
Gleason LLC,J. Coltrane,Odessa,TX,Laptop-17,Laptop,2-Needs Analysis,28986,Web,,6/30/16,6,2
Zieme Inc,D. Gillespie,Portland,OR,Laptop-17,Laptop,1-Prospect,122766,Trade Show,,1/19/17,1,1
Gleason LLC,J. Coltrane,El Paso,TX,Laptop-15,Laptop,3-Proposal,395513,Web,,12/6/16,12,4
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,341413,Web,,3/4/16,3,1
Gleason LLC,J. Coltrane,Appleton,WI,Laptop-15,Laptop,4-Negotiation,15885,Referral,,9/26/16,9,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,1-Prospect,130028,Web,,3/15/16,3,1
Gleason LLC,J. Coltrane,Dallas,TX,Laptop-17,Laptop,2-Needs Analysis,444478,Referral,,3/1/16,3,1
Christiansen LLC,D. Ellington,Dallas,TX,Tablet-10,Tablet,1-Prospect,327057,Referral,,11/18/16,11,4
Gleason LLC,J. Coltrane,Sacramento,CA,Laptop-17,Laptop,3-Proposal,452540,Advertisement,,5/22/16,5,2
Gleason LLC,J. Coltrane,Chicago,IL,Laptop-17,Laptop,2-Needs Analysis,171438,Referral,,3/3/16,3,1
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,4-Negotiation,490077,Referral,,3/23/16,3,1
Gleason LLC,J. Coltrane,Dallas,TX,Tablet-8,Tablet,1-Prospect,79732,Referral,,12/25/16,12,4
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,3-Proposal,259029,Referral,,4/8/16,4,2
Gleason LLC,J. Coltrane,Levittown,PA,Tablet-10,Tablet,3-Proposal,332150,Web,,2/28/16,2,1
Dooley Group,J. Coltrane,Chicago,IL,Tablet-8,Tablet,1-Prospect,50596,Web,,11/23/16,11,4
Zieme Inc,D. Gillespie,Philadelphia,PA,Laptop-17,Laptop,4-Negotiation,312626,Referral,,2/1/16,2,1
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,172764,Referral,,3/26/16,3,1
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,131342,Web,,5/26/16,5,2
Christiansen LLC,D. Ellington,Dallas,TX,Phone-1,Phone,1-Prospect,403368,Referral,,2/23/16,2,1
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,2-Needs Analysis,134471,Partner,,2/6/16,2,1
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,Closed Lost,-72815,Partner,,10/28/16,10,4
Gleason LLC,J. Coltrane,Jackson,MS,Laptop-17,Laptop,1-Prospect,390584,Partner,,5/23/16,5,2
Christiansen LLC,D. Ellington,Dallas,TX,Tablet-10,Tablet,2-Needs Analysis,24097,Referral,,5/20/16,5,2
Valenzuela Inc,B. Holiday,Miami,FL,Laptop-17,Laptop,2-Needs Analysis,378175,Referral,,9/22/16,9,3
Crona and Sons,B. Goodman,Washington,DC,Tablet-10,Tablet,1-Prospect,95957,Trade Show,,7/9/16,7,3
Gleason LLC,J. Coltrane,Evansville,IN,Laptop-13,Laptop,1-Prospect,86182,Web,,7/30/16,7,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,312623,Web,,1/2/17,1,1
Gleason LLC,J. Coltrane,Fresno,CA,Tablet-8,Tablet,2-Needs Analysis,478634,Partner,,5/21/16,5,2
Gleason LLC,J. Coltrane,Houston,TX,Laptop-13,Laptop,1-Prospect,149543,Trade Show,,5/27/16,5,2
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,2-Needs Analysis,261927,Referral,,11/9/16,11,4
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,3-Proposal,379517,Referral,,7/21/16,7,3
Gleason LLC,J. Coltrane,Richmond,VA,Tablet-10,Tablet,1-Prospect,210149,Web,,7/12/16,7,3
Gleason LLC,J. Coltrane,Wilkes Barre,PA,Laptop-15,Laptop,3-Proposal,213424,Referral,,5/8/16,5,2
Zieme Inc,D. Gillespie,Zephyrhills,FL,Laptop-15,Laptop,2-Needs Analysis,294291,Referral,,1/12/17,1,1
Gleason LLC,J. Coltrane,Seattle,WA,Laptop-13,Laptop,1-Prospect,440868,Trade Show,,10/27/16,10,4
Gleason LLC,J. Coltrane,Santa Ana,CA,Laptop-15,Laptop,3-Proposal,371155,Web,,11/13/16,11,4
Gleason LLC,J. Coltrane,Mobile,AL,Laptop-17,Laptop,5-Closed Won,-145392,Referral,463496,4/7/16,4,2
Gleason LLC,J. Coltrane,Bozeman,MT,Laptop-17,Laptop,4-Negotiation,32166,Referral,,7/12/16,7,3
Dooley Group,J. Coltrane,Chicago,IL,Tablet-10,Tablet,1-Prospect,204782,Referral,,10/10/16,10,4
Gleason LLC,J. Coltrane,Flint,MI,Laptop-15,Laptop,2-Needs Analysis,369808,Trade Show,,11/14/16,11,4
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,2-Needs Analysis,398836,Web,,9/30/16,9,3
Gleason LLC,J. Coltrane,Washington,DC,Phone-2,Phone,1-Prospect,259028,Referral,,5/30/16,5,2
Gleason LLC,J. Coltrane,Lexington,KY,Desktop-1,Desktop,1-Prospect,128213,Partner,,10/1/16,10,4
Crona and Sons,B. Goodman,New Bedford,MA,Tablet-10,Tablet,2-Needs Analysis,90422,Web,,1/6/17,1,1
Gleason LLC,J. Coltrane,Meridian,MS,Laptop-17,Laptop,1-Prospect,94982,Web,,3/17/16,3,1
Gleason LLC,J. Coltrane,San Antonio,TX,Laptop-17,Laptop,1-Prospect,270159,Referral,,12/7/16,12,4
Gleason LLC,J. Coltrane,San Francisco,CA,Laptop-15,Laptop,1-Prospect,175454,Web,,5/12/16,5,2
Crona and Sons,B. Goodman,New Haven,CT,Laptop-17,Laptop,2-Needs Analysis,494633,Advertisement,,8/25/16,8,3
Gleason LLC,J. Coltrane,Los Angeles,CA,Tablet-10,Tablet,2-Needs Analysis,67662,Trade Show,,5/9/16,5,2
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,2-Needs Analysis,71444,Trade Show,,1/14/17,1,1
Gleason LLC,J. Coltrane,Birmingham,AL,Tablet-10,Tablet,1-Prospect,213018,Web,,2/29/16,2,1
Dooley Group,J. Coltrane,Chicago,IL,Laptop-13,Laptop,2-Needs Analysis,130149,Web,,8/19/16,8,3
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,1-Prospect,139727,Referral,,7/30/16,7,3
Gleason LLC,J. Coltrane,Atlanta,GA,Laptop-13,Laptop,1-Prospect,383646,Web,,4/8/16,4,2
Gleason LLC,J. Coltrane,Springfield,MA,Laptop-15,Laptop,2-Needs Analysis,443520,Referral,,9/2/16,9,3
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,1-Prospect,48861,Referral,,6/1/16,6,2
Zieme Inc,D. Gillespie,Kalamazoo,MI,Laptop-15,Laptop,2-Needs Analysis,312224,Referral,,4/27/16,4,2
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,2-Needs Analysis,252245,Referral,,11/28/16,11,4
Gleason LLC,J. Coltrane,Huntsville,AL,Laptop-13,Laptop,1-Prospect,207692,Referral,,6/14/16,6,2
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,1-Prospect,452750,Referral,,9/2/16,9,3
Gleason LLC,J. Coltrane,Alexandria,VA,Laptop-17,Laptop,1-Prospect,23545,Referral,,5/18/16,5,2
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,2-Needs Analysis,222531,Referral,,11/4/16,11,4
Gleason LLC,J. Coltrane,Cleveland,OH,Laptop-15,Laptop,1-Prospect,39039,Partner,,8/14/16,8,3
Gleason LLC,J. Coltrane,Memphis,TN,Laptop-17,Laptop,1-Prospect,101574,Web,,9/26/16,9,3
Gleason LLC,J. Coltrane,Topeka,KS,Laptop-17,Laptop,1-Prospect,252433,Web,,7/4/16,7,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,4-Negotiation,347447,Referral,,1/6/17,1,1
Gleason LLC,J. Coltrane,Berkeley,CA,Laptop-17,Laptop,4-Negotiation,272935,Referral,,6/30/16,6,2
Gleason LLC,J. Coltrane,Toledo,OH,Tablet-10,Tablet,1-Prospect,187010,Trade Show,,5/8/16,5,2
Gleason LLC,J. Coltrane,Atlanta,GA,Laptop-15,Laptop,2-Needs Analysis,219467,Trade Show,,4/12/16,4,2
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,Closed Lost,-368151,Referral,,8/5/16,8,3
Gleason LLC,J. Coltrane,Salt Lake City,UT,Laptop-17,Laptop,3-Proposal,299442,Referral,,3/21/16,3,1
Gleason LLC,J. Coltrane,Miami,FL,Laptop-17,Laptop,2-Needs Analysis,168346,Referral,,6/9/16,6,2
Gleason LLC,J. Coltrane,Trenton,NJ,Laptop-17,Laptop,4-Negotiation,415492,Referral,,4/10/16,4,2
Valenzuela Inc,B. Holiday,Miami,FL,Tablet-10,Tablet,2-Needs Analysis,198217,Referral,,1/15/17,1,1
Gleason LLC,J. Coltrane,Pittsburgh,PA,Laptop-17,Laptop,2-Needs Analysis,182538,Referral,,3/15/16,3,1
Gleason LLC,J. Coltrane,Waco,TX,Laptop-17,Laptop,1-Prospect,435509,Web,,8/7/16,8,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,Closed Lost,-48567,Web,,6/18/16,6,2
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,42177,Referral,,5/5/16,5,2
Gleason LLC,J. Coltrane,Des Moines,IA,Laptop-17,Laptop,2-Needs Analysis,146307,Referral,,1/21/17,1,1
Gleason LLC,J. Coltrane,Houston,TX,Laptop-15,Laptop,1-Prospect,218569,Trade Show,,11/15/16,11,4
Gleason LLC,J. Coltrane,Charlotte,NC,Laptop-17,Laptop,2-Needs Analysis,100433,Advertisement,,5/9/16,5,2
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,1-Prospect,314751,Referral,,10/24/16,10,4
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,1-Prospect,459894,Referral,,11/11/16,11,4
Gleason LLC,J. Coltrane,Gainesville,FL,Laptop-17,Laptop,1-Prospect,306543,Advertisement,,12/29/16,12,4
Gleason LLC,J. Coltrane,Harrisburg,PA,Laptop-17,Laptop,1-Prospect,357866,Web,,6/8/16,6,2
Gleason LLC,J. Coltrane,Orlando,FL,Laptop-17,Laptop,5-Closed Won,-46481,Web,325218,1/7/17,1,1
Valenzuela Inc,B. Holiday,Miami,FL,Laptop-17,Laptop,1-Prospect,235562,Trade Show,,5/7/16,5,2
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-15,Laptop,2-Needs Analysis,21776,Referral,,1/15/17,1,1
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,297556,Trade Show,,8/29/16,8,3
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-15,Laptop,4-Negotiation,368649,Advertisement,,3/22/16,3,1
Gleason LLC,J. Coltrane,South Bend,IN,Laptop-15,Laptop,1-Prospect,480651,Web,,12/7/16,12,4
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,72291,Advertisement,,9/2/16,9,3
Gleason LLC,J. Coltrane,Racine,WI,Laptop-17,Laptop,2-Needs Analysis,54600,Advertisement,,10/10/16,10,4
Gleason LLC,J. Coltrane,Tulsa,OK,Laptop-17,Laptop,1-Prospect,404451,Partner,,12/3/16,12,4
Gleason LLC,J. Coltrane,Jacksonville,FL,Laptop-13,Laptop,1-Prospect,313944,Referral,,9/18/16,9,3
Gleason LLC,J. Coltrane,Columbia,SC,Laptop-15,Laptop,1-Prospect,144640,Referral,,1/20/17,1,1
Gleason LLC,J. Coltrane,Tucson,AZ,Laptop-17,Laptop,2-Needs Analysis,342317,Web,,9/15/16,9,3
Gleason LLC,J. Coltrane,Columbus,GA,Laptop-17,Laptop,2-Needs Analysis,344944,Referral,,10/22/16,10,4
Dooley Group,J. Coltrane,Chicago,IL,Laptop-13,Laptop,2-Needs Analysis,442692,Trade Show,,7/1/16,7,3
Gleason LLC,J. Coltrane,Charlotte,NC,Laptop-17,Laptop,1-Prospect,474528,Partner,,8/18/16,8,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,Closed Lost,-113322,Referral,,12/6/16,12,4
Gleason LLC,J. Coltrane,Topeka,KS,Laptop-15,Laptop,1-Prospect,122663,Referral,,12/4/16,12,4
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,41863,Trade Show,,10/15/16,10,4
Gleason LLC,J. Coltrane,Chicago,IL,Laptop-15,Laptop,5-Closed Won,-294672,Referral,104048,3/16/16,3,1
Valenzuela Inc,B. Holiday,Miami,FL,Laptop-13,Laptop,1-Prospect,356304,Referral,,12/4/16,12,4
Gleason LLC,J. Coltrane,Las Vegas,NV,Laptop-15,Laptop,2-Needs Analysis,198385,Referral,,4/19/16,4,2
Gleason LLC,J. Coltrane,Denver,CO,Desktop-2,Desktop,1-Prospect,42850,Advertisement,,8/23/16,8,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-13,Laptop,1-Prospect,113506,Referral,,4/19/16,4,2
 Daugherty and Daugherty,M. Roach,Atlanta,GA,Laptop-17,Laptop,5-Closed Won,-456586,Referral,343238,5/5/16,5,2
Gleason LLC,J. Coltrane,Philadelphia,PA,Laptop-17,Laptop,4-Negotiation,334537,Trade Show,,2/1/16,2,1
Dooley Group,J. Coltrane,Chicago,IL,Laptop-13,Laptop,1-Prospect,6630,Referral,,1/25/17,1,1
Crona and Sons,B. Goodman,Allentown,PA,Laptop-15,Laptop,1-Prospect,130000,Referral,,3/12/16,3,1
Gleason LLC,J. Coltrane,Washington,DC,Laptop-13,Laptop,1-Prospect,321479,Referral,,1/8/17,1,1
Gleason LLC,J. Coltrane,Detroit,MI,Laptop-17,Laptop,2-Needs Analysis,238603,Web,,8/12/16,8,3
Zieme Inc,D. Gillespie,San Antonio,TX,Laptop-15,Laptop,2-Needs Analysis,35765,Trade Show,,9/25/16,9,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,14657,Web,,10/1/16,10,4
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,2-Needs Analysis,199291,Referral,,6/29/16,6,2
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,1-Prospect,373784,Web,,6/13/16,6,2
Gleason LLC,J. Coltrane,Cincinnati,OH,Laptop-17,Laptop,1-Prospect,289129,Web,,6/19/16,6,2
Gleason LLC,J. Coltrane,Memphis,TN,Tablet-8,Tablet,1-Prospect,130766,Referral,,9/11/16,9,3
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,4-Negotiation,210479,Referral,,2/7/16,2,1
Dooley Group,J. Coltrane,Chicago,IL,Laptop-13,Laptop,1-Prospect,8548,Web,,5/3/16,5,2
Gleason LLC,J. Coltrane,Montgomery,AL,Laptop-17,Laptop,1-Prospect,191851,Trade Show,,1/3/17,1,1
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,4-Negotiation,184774,Referral,,9/12/16,9,3
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-13,Laptop,1-Prospect,34957,Referral,,7/2/16,7,3
Gleason LLC,J. Coltrane,Green Bay,WI,Laptop-17,Laptop,5-Closed Won,-112896,Trade Show,275176,2/15/16,2,1
Gleason LLC,J. Coltrane,Winston Salem,NC,Laptop-15,Laptop,2-Needs Analysis,371517,Web,,1/18/17,1,1
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,439153,Web,,11/5/16,11,4
Gleason LLC,J. Coltrane,Santa Fe,NM,Laptop-13,Laptop,1-Prospect,221143,Web,,12/22/16,12,4
Zieme Inc,D. Gillespie,Dallas,TX,Laptop-17,Laptop,2-Needs Analysis,140967,Advertisement,,2/10/16,2,1
Dooley Group,J. Coltrane,Chicago,IL,Tablet-10,Tablet,1-Prospect,172467,Referral,,10/19/16,10,4
Gleason LLC,J. Coltrane,Plano,TX,Laptop-17,Laptop,2-Needs Analysis,277181,Referral,,9/24/16,9,3
Zieme Inc,D. Gillespie,Brea,CA,Laptop-17,Laptop,1-Prospect,73647,Web,,5/25/16,5,2
Gleason LLC,J. Coltrane,Dayton,OH,Laptop-15,Laptop,1-Prospect,269370,Referral,,2/13/16,2,1
Crona and Sons,B. Goodman,Boston,MA,Laptop-13,Laptop,5-Closed Won,-419401,Referral,60500,5/22/16,5,2
Dooley Group,J. Coltrane,Chicago,IL,Phone-2,Phone,1-Prospect,158781,Referral,,10/13/16,10,4
Gleason LLC,J. Coltrane,Delray Beach,FL,Laptop-15,Laptop,5-Closed Won,-276341,Trade Show,152513,4/12/16,4,2
Gleason LLC,J. Coltrane,Indianapolis,IN,Tablet-10,Tablet,2-Needs Analysis,246899,Partner,,1/17/17,1,1
Gleason LLC,J. Coltrane,Waco,TX,Laptop-15,Laptop,1-Prospect,368300,Referral,,12/16/16,12,4
Dooley Group,J. Coltrane,Chicago,IL,Phone-2,Phone,Closed Lost,-111389,Referral,,12/13/16,12,4
Gleason LLC,J. Coltrane,Oklahoma City,OK,Laptop-13,Laptop,1-Prospect,473148,Partner,,4/9/16,4,2
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,2-Needs Analysis,183674,Advertisement,,7/30/16,7,3
Valenzuela Inc,B. Holiday,Miami,FL,Laptop-17,Laptop,2-Needs Analysis,424181,Referral,,11/16/16,11,4
Valenzuela Inc,B. Holiday,Miami,FL,Laptop-15,Laptop,2-Needs Analysis,447719,Web,,9/7/16,9,3
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,2-Needs Analysis,155595,Web,,2/13/16,2,1
Gleason LLC,J. Coltrane,Washington,DC,Laptop-15,Laptop,1-Prospect,360800,Trade Show,,10/1/16,10,4
Gleason LLC,J. Coltrane,Dayton,OH,Laptop-17,Laptop,2-Needs Analysis,258275,Referral,,12/14/16,12,4
Gleason LLC,J. Coltrane,Tulsa,OK,Laptop-17,Laptop,1-Prospect,239937,Web,,11/7/16,11,4
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-17,Laptop,4-Negotiation,9102,Trade Show,,12/12/16,12,4
Gleason LLC,J. Coltrane,El Paso,TX,Laptop-15,Laptop,2-Needs Analysis,192077,Referral,,3/24/16,3,1
Zieme Inc,D. Gillespie,Fort Pierce,FL,Laptop-17,Laptop,4-Negotiation,102279,Trade Show,,6/14/16,6,2
Zieme Inc,D. Gillespie,Nashville,TN,Laptop-17,Laptop,2-Needs Analysis,66055,Referral,,5/25/16,5,2
Gleason LLC,J. Coltrane,Anchorage,AK,Laptop-17,Laptop,Closed Lost,-65864,Trade Show,,8/1/16,8,3
Dooley Group,J. Coltrane,Chicago,IL,Phone-3,Phone,1-Prospect,425155,Trade Show,,12/20/16,12,4
Dooley Group,J. Coltrane,Chicago,IL,Tablet-10,Tablet,1-Prospect,99289,Web,,9/24/16,9,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,4-Negotiation,306229,Trade Show,,7/18/16,7,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-13,Laptop,4-Negotiation,460732,Trade Show,,12/23/16,12,4
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,165106,Web,,4/6/16,4,2
Gleason LLC,J. Coltrane,Lubbock,TX,Laptop-17,Laptop,Closed Lost,-231179,Referral,,4/30/16,4,2
Gleason LLC,J. Coltrane,Memphis,TN,Tablet-8,Tablet,2-Needs Analysis,172177,Web,,7/8/16,7,3
Gleason LLC,J. Coltrane,Roanoke,VA,Laptop-17,Laptop,2-Needs Analysis,185275,Referral,,7/25/16,7,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,2-Needs Analysis,494517,Referral,,4/20/16,4,2
Gleason LLC,J. Coltrane,Dallas,TX,Laptop-17,Laptop,3-Proposal,388197,Trade Show,,2/15/16,2,1
Dooley Group,J. Coltrane,Chicago,IL,Laptop-13,Laptop,1-Prospect,122194,Referral,,7/23/16,7,3
Gleason LLC,J. Coltrane,Dallas,TX,Laptop-17,Laptop,3-Proposal,485148,Web,,2/20/16,2,1
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,2-Needs Analysis,464673,Advertisement,,11/14/16,11,4
Gleason LLC,J. Coltrane,Prescott,AZ,Laptop-17,Laptop,1-Prospect,359914,Referral,,12/31/16,12,4
Dooley Group,J. Coltrane,Chicago,IL,Laptop-15,Laptop,3-Proposal,343224,Referral,,10/26/16,10,4
Christiansen LLC,D. Ellington,Dallas,TX,Laptop-15,Laptop,1-Prospect,430453,Advertisement,,2/17/16,2,1
Gleason LLC,J. Coltrane,Fort Lauderdale,FL,Laptop-13,Laptop,2-Needs Analysis,469326,Referral,,1/27/17,1,1
Gleason LLC,J. Coltrane,Laredo,TX,Laptop-13,Laptop,Closed Lost,-495284,Referral,,12/14/16,12,4
Gleason LLC,J. Coltrane,Abilene,TX,Phone-3,Phone,1-Prospect,462513,Trade Show,,7/22/16,7,3
Dooley Group,J. Coltrane,Chicago,IL,Laptop-17,Laptop,1-Prospect,205640,Referral,,11/30/16,11,4
Gleason LLC,J. Coltrane,Saint Paul,MN,Laptop-15,Laptop,2-Needs Analysis,237058,Trade Show,,6/4/16,6,2
Gleason LLC,J. Coltrane,Lubbock,TX,Laptop-15,Laptop,1-Prospect,290940,Referral,,5/25/16,5,2
